,PC1,PC2
Name,0.1705765568340944,0.6037166112876451
MolecularWeight,0.4476632309639601,-0.42671082694559576
Aromaticity,0.3949385286260074,0.4613712505950982
InstabilityIndex,0.3788279318031995,0.03360762192583566
IsoelectricPoint,0.5179906495730985,0.17716231750104
GRAVY,-0.12131271030628142,0.007658114720091619
Length,0.4335702248390126,-0.45607684312204194
